x,y1,y2,y3,y4
-20.0,-1.2484317,7999.5684,800.00616,-7599.578
-19.9,-0.43193787,7880.8604,792.258,-7484.833
-19.8,-0.39401698,7762.471,784.1513,-7370.614
-19.7,-1.3280147,7645.832,775.8123,-7257.3843
-19.6,-0.6485785,7529.4395,768.28564,-7145.592
-19.5,-0.48129416,7414.965,760.1956,-7034.754
-19.4,-0.9362377,7300.9116,752.33026,-6925.4233
-19.3,-0.5324824,7188.9507,745.1888,-6816.993
-19.2,-0.9737219,7077.861,737.7582,-6709.5996
-19.1,-0.9816949,6968.294,729.2189,-6602.876
-19.0,-1.1095492,6859.1772,721.94476,-6498.494
-18.9,-1.1523664,6751.265,714.1916,-6394.0366
-18.8,-1.412118,6644.9688,707.3265,-6290.816
-18.7,-1.4121236,6539.4053,698.9919,-6189.7173
-18.6,-0.895603,6434.88,692.0502,-6088.6665
-18.5,-1.1445841,6331.9297,684.1649,-5989.7983
-18.4,-1.339499,6229.16,676.7872,-5891.049
-18.3,-0.6137255,6128.8325,670.2252,-5793.118
-18.2,-0.7318659,6028.568,662.73553,-5696.9077
-18.1,-0.8254175,5930.2295,655.4246,-5602.3403
-18.0,-1.1472028,5832.3833,648.2214,-5508.406
-17.9,-0.41027343,5735.1235,641.31757,-5415.334
-17.8,-0.7341963,5640.054,634.0529,-5323.232
-17.7,-0.50254726,5545.0225,626.15753,-5232.4336
-17.6,-0.9880997,5451.8037,619.05273,-5142.043
-17.5,-0.56624025,5359.399,612.2091,-5053.4746
-17.4,-0.7934179,5268.039,605.1855,-4964.816
-17.3,-0.33695006,5177.9956,598.5597,-4878.085
-17.2,-0.58432,5088.731,592.04443,-4792.9097
-17.1,-0.4528871,4999.8535,584.42773,-4707.5635
-17.0,-0.8126546,4912.9995,577.9003,-4623.6978
-16.9,-0.43915325,4827.1914,570.85895,-4541.4453
-16.8,-0.65642816,4741.781,564.92145,-4459.214
-16.7,-0.7397713,4657.5435,557.67944,-4378.4434
-16.6,-0.67614436,4574.3003,551.0443,-4298.955
-16.5,-0.49668676,4491.95,544.6427,-4219.4434
-16.4,-0.0969439,4410.9883,537.5809,-4142.395
-16.3,-0.7416149,4330.631,531.1477,-4064.9268
-16.2,-0.06578901,4251.771,525.0712,-3989.4976
-16.1,0.12841651,4173.708,518.8356,-3914.3694
-16.0,-0.27311742,4095.5764,511.80933,-3840.1694
-15.9,-0.5051066,4019.9568,505.353,-3767.0173
-15.8,0.100322865,3944.5615,499.68274,-3694.6875
-15.7,0.4225484,3869.5583,492.87424,-3623.2659
-15.6,-0.22405876,3796.1287,486.5239,-3553.5476
-15.5,-0.058048718,3724.3132,480.68268,-3483.1304
-15.4,-0.18241906,3652.5703,473.8239,-3414.7725
-15.3,0.526253,3581.402,467.89526,-3347.1873
-15.2,0.11728127,3511.6648,462.21298,-3280.9072
-15.1,0.72738683,3443.3962,455.85873,-3215.2427
-15.0,0.299715,3374.6526,449.66006,-3149.7683
-14.9,0.5188375,3307.9802,443.5418,-3085.9463
-14.8,0.5863223,3241.8916,438.20425,-3022.904
-14.7,0.53880835,3176.8164,432.48083,-2959.9648
-14.6,0.5718109,3111.6912,426.52142,-2899.2905
-14.5,0.74995327,3048.2515,420.26614,-2838.111
-14.4,0.21930493,2986.1384,414.95383,-2778.9958
-14.3,0.2914294,2924.256,408.86505,-2720.0005
-14.2,1.1244749,2863.1865,403.07477,-2661.177
-14.1,0.9839948,2802.7966,397.37402,-2604.4207
-14.0,1.1828598,2744.1787,391.86267,-2548.2761
-13.9,0.59467405,2685.5557,386.55304,-2491.933
-13.8,0.68387425,2628.3862,380.88315,-2437.7937
-13.7,1.2303762,2571.4822,375.81738,-2383.2031
-13.6,1.3554441,2515.2576,370.21616,-2330.2966
-13.5,0.42803633,2460.443,364.4415,-2278.3281
-13.4,0.8927328,2406.0708,359.0833,-2226.2664
-13.3,0.78812325,2352.4053,353.78574,-2175.93
-13.2,1.2918032,2300.1387,348.81055,-2126.0872
-13.1,1.3671927,2248.0608,343.36316,-2076.0466
-13.0,1.105475,2197.0889,338.00357,-2027.7028
-12.9,1.2499803,2146.3035,332.4969,-1980.7052
-12.8,0.64646935,2097.4463,327.3733,-1933.1958
-12.7,1.1767384,2048.619,323.04495,-1887.173
-12.6,1.2820804,2000.3005,317.78543,-1841.6047
-12.5,1.4380413,1953.465,312.59805,-1796.9796
-12.4,1.4918253,1907.0668,307.76288,-1752.9008
-12.3,1.1960632,1861.0487,302.5638,-1709.0933
-12.2,0.93116397,1815.6077,297.62372,-1667.2451
-12.1,1.336025,1771.0952,292.9732,-1625.614
-12.0,1.1496652,1728.4066,288.3466,-1584.3561
-11.9,1.2944928,1684.9568,283.6613,-1543.8248
-11.8,0.96122795,1643.2164,278.07538,-1504.0216
-11.7,0.9464745,1601.639,274.15805,-1465.1433
-11.6,1.1416533,1561.1445,268.8706,-1426.5287
-11.5,0.77313876,1520.4476,264.97366,-1389.1118
-11.4,1.1758866,1481.6102,259.8696,-1351.7312
-11.3,0.38533214,1443.0728,255.25627,-1315.3368
-11.2,1.1134396,1404.9523,250.65181,-1279.6454
-11.1,0.77170235,1367.3312,246.5774,-1243.9941
-11.0,0.6921618,1331.216,242.20584,-1210.2825
-10.9,0.27467114,1295.2268,237.39632,-1176.6915
-10.8,1.0926036,1259.3152,232.97758,-1142.6942
-10.7,0.52310306,1225.2457,228.5512,-1110.2552
-10.6,0.64566237,1191.3309,224.58406,-1079.0195
-10.5,0.8350834,1158.0416,220.45364,-1047.2396
-10.4,0.5053,1124.658,216.03148,-1016.77966
-10.3,0.8823789,1093.0967,212.15063,-986.993
-10.2,0.38776192,1061.0795,207.69017,-956.8563
-10.1,0.35908636,1030.5944,204.37836,-928.3639
-10.0,0.10003957,1000.11304,199.51224,-900.2664
-9.9,0.31348372,970.4541,196.43636,-872.1404
-9.8,0.09305339,940.93915,192.24442,-845.2843
-9.7,0.4122018,912.9842,188.08525,-818.8348
-9.6,0.06520107,884.865,184.17014,-793.07056
-9.5,0.29403642,857.04846,180.09836,-767.2509
-9.4,-0.26533052,830.70966,176.64102,-741.94006
-9.3,-0.30412114,804.7135,173.01599,-717.87726
-9.2,-0.22853741,778.4328,169.72961,-694.4685
-9.1,-0.45940828,753.3185,165.20168,-670.94135
-9.0,-0.19720252,728.88324,162.27966,-648.1833
-8.9,-0.31023368,705.1354,158.10175,-625.5165
-8.8,-0.45405862,681.3241,155.01454,-603.66614
-8.7,-0.17082669,658.30975,151.2609,-582.6702
-8.6,-0.25011915,636.19946,148.25352,-561.9496
-8.5,-0.38754037,614.05475,144.67546,-541.57086
-8.4,-0.6324232,592.9359,140.96713,-522.3574
-8.3,-0.2446377,572.2836,137.62143,-502.78265
-8.2,-0.1398603,551.3581,134.84903,-484.4129
-8.1,-0.29483765,530.99365,130.75014,-466.18948
-8.0,-0.85332465,512.0579,128.1099,-447.6493
-7.9,-0.8136522,492.92462,124.543076,-431.0111
-7.8,-0.976743,475.04346,122.067635,-413.86758
-7.7,-0.7737951,456.7339,118.92102,-397.66074
-7.6,-0.8498643,439.10205,115.70244,-381.48322
-7.5,-1.0812184,421.7504,112.90254,-365.5998
-7.4,-0.7235748,404.7437,109.030334,-350.47433
-7.3,-1.079877,389.0899,106.304634,-335.5648
-7.2,-0.96731627,373.64508,104.1161,-320.922
-7.1,-0.48575127,358.03983,100.35564,-307.56317
-7.0,-1.1817609,342.7693,97.88859,-293.60123
-6.9,-0.6527474,328.70407,94.81864,-280.6441
-6.8,-0.75267184,313.96536,92.72845,-268.6261
-6.7,-1.3396684,300.97455,89.29436,-255.96208
-6.6,-1.4592927,287.31717,87.581764,-244.17575
-6.5,-1.1281427,275.04694,84.19228,-232.23758
-6.4,-0.7614963,262.39066,82.07789,-220.78285
-6.3,-1.3465167,249.75581,79.02958,-210.42476
-6.2,-1.0851021,238.31218,77.24873,-200.03062
-6.1,-1.0360731,227.44196,74.45111,-189.52257
-6.0,-1.4623588,215.56902,71.96803,-180.4439
-5.9,-0.776123,205.1477,69.909004,-170.18367
-5.8,-0.53356075,195.49084,67.67972,-161.25586
-5.7,-0.79985726,185.24814,64.76435,-152.94678
-5.6,-0.45716658,175.12898,63.138466,-143.9867
-5.5,-0.90738744,166.71185,60.201572,-136.56905
-5.4,-0.6730925,157.10994,58.724216,-128.72832
-5.3,-1.1751572,148.90112,56.46145,-121.020996
-5.2,-0.88325155,141.05016,54.553852,-113.59057
-5.1,-1.1345612,132.85617,52.201187,-106.73235
-5.0,-1.1719666,124.53136,50.29417,-99.893936
-4.9,-0.67091465,117.170364,47.855835,-93.19658
-4.8,-0.8114415,111.089005,46.53761,-87.83141
